STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,BUSINESS_DEVELOPMENT_STAGE,Business development stage,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,BEL,Belgium,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2015,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2007,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2008,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2009,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2010,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2011,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2012,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2014,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,EST,Estonia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2007,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_VC@DF_VC_INV(1.0),Venture capital investments (market statistics),I,EST,Estonia,VC_INV_MKT,Venture capital investments (market statistics),SEED,Seed,USD_EXC,"US dollars, exchange rate converted",A,Annual,2008,,0,,A,Normal value,6,Millions,USD,US dollar,2,Two
